import time: self [us] | cumulative | imported package
import time:       183 |        183 |   _io
import time:        54 |         54 |   marshal
import time:       408 |        408 |   posix
import time:       444 |       1088 | _frozen_importlib_external
import time:       125 |        125 |   time
import time:       145 |        269 | zipimport
import time:        86 |         86 |     _codecs
import time:       535 |        620 |   codecs
import time:       714 |        714 |   encodings.aliases
import time:      1031 |       2365 | encodings
import time:       330 |        330 | encodings.utf_8
import time:       148 |        148 | _signal
import time:        58 |         58 |     _abc
import time:       167 |        224 |   abc
import time:       217 |        441 | io
import time:        50 |         50 |       _stat
import time:        88 |        137 |     stat
import time:       922 |        922 |     _collections_abc
import time:        54 |         54 |       genericpath
import time:        81 |        135 |     posixpath
import time:       394 |       1586 |   os
import time:        69 |         69 |   _sitebuiltins
import time:       849 |        849 |   _distutils_hack
import time:       339 |        339 |   types
import time:       332 |        332 |       warnings
import time:       234 |        566 |     importlib
import time:       250 |        250 |     importlib._abc
import time:       112 |        112 |         itertools
import time:       185 |        185 |         keyword
import time:        80 |         80 |           _operator
import time:       289 |        368 |         operator
import time:       187 |        187 |         reprlib
import time:       158 |        158 |         _collections
import time:      1010 |       2018 |       collections
import time:        65 |         65 |         _functools
import time:       726 |        791 |       functools
import time:       720 |       3528 |     contextlib
import time:       255 |        255 |       _weakrefset
import time:       716 |        970 |     threading
import time:       198 |       5511 |   importlib.util
import time:        69 |         69 |   importlib.machinery
import time:       744 |        744 |   sitecustomize
import time:        60 |         60 |   usercustomize
import time:      1255 |      10479 | site
import time:       141 |        141 |     cemd.core
import time:       163 |        163 |     __future__
import time:       369 |        369 |       weakref
import time:       177 |        177 |       copyreg
import time:        98 |         98 |           org
import time:        21 |        118 |         org.python
import time:        14 |        132 |       org.python.core
import time:       225 |        900 |     copy
import time:       385 |        385 |       collections.abc
import time:      2028 |       2028 |         enum
import time:        79 |         79 |           _sre
import time:       431 |        431 |             re._constants
import time:       856 |       1286 |           re._parser
import time:       223 |        223 |           re._casefix
import time:       542 |       2128 |         re._compiler
import time:       826 |       4981 |       re
import time:       253 |        253 |       _typing
import time:      3838 |       9455 |     typing
import time:       277 |        277 |       numpy.version
import time:       209 |        209 |       numpy._expired_attrs_2_0
import time:       214 |        214 |           numpy._utils._convertions
import time:       198 |        412 |         numpy._utils
import time:       426 |        837 |       numpy._globals
import time:        51 |         51 |         numpy._distributor_init_local
import time:       211 |        262 |       numpy._distributor_init
import time:       339 |        339 |                   math
import time:      6607 |       6607 |                   _datetime
import time:      1502 |       8447 |                 datetime
import time:       378 |        378 |                 numpy.exceptions
import time:       362 |        362 |                 numpy._core._exceptions
import time:       226 |        226 |                     _contextvars
import time:       160 |        386 |                   contextvars
import time:       183 |        568 |                 numpy._core.printoptions
import time:       155 |        155 |                 numpy.dtypes
import time:     19111 |      29017 |               numpy._core._multiarray_umath
import time:      4502 |       4502 |                     _ast
import time:      1370 |       5872 |                   ast
import time:      3297 |       3297 |                       _opcode
import time:       639 |       3936 |                     opcode
import time:      1056 |       4991 |                   dis
import time:       238 |        238 |                       token
import time:      1235 |       1472 |                     tokenize
import time:       274 |       1746 |                   linecache
import time:      5301 |      17909 |                 inspect
import time:       235 |        235 |                 numpy._utils._inspect
import time:       540 |      18682 |               numpy._core.overrides
import time:      5539 |      53238 |             numpy._core.multiarray
import time:       309 |        309 |             numpy._core.umath
import time:       589 |        589 |               numbers
import time:       215 |        215 |               numpy._core._dtype
import time:       161 |        161 |               numpy._core._string_helpers
import time:      3435 |       3435 |               numpy._core._type_aliases
import time:       577 |       4974 |             numpy._core.numerictypes
import time:      3341 |       3341 |                           _struct
import time:       261 |       3601 |                         struct
import time:       487 |        487 |                         _compat_pickle
import time:       337 |        337 |                         _pickle
import time:        96 |         96 |                             org
import time:        58 |        154 |                           org.python
import time:        53 |        206 |                         org.python.core
import time:      1204 |       5833 |                       pickle
import time:       297 |       6129 |                     numpy._core._methods
import time:      1205 |       7334 |                   numpy._core.fromnumeric
import time:       471 |       7804 |                 numpy._core.shape_base
import time:       248 |        248 |                 numpy._core._ufunc_config
import time:       235 |        235 |                 numpy._core._asarray
import time:      1476 |       1476 |                 numpy._core.arrayprint
import time:      4746 |      14507 |               numpy._core.numeric
import time:       445 |      14951 |             numpy._core.einsumfunc
import time:       290 |        290 |             numpy._core.function_base
import time:       383 |        383 |             numpy._core.getlimits
import time:       231 |        231 |             numpy._core.memmap
import time:       395 |        395 |             numpy._core.records
import time:      1355 |       1355 |               textwrap
import time:     18891 |      20245 |             numpy._core._add_newdocs
import time:      4096 |       4096 |             numpy._core._add_newdocs_scalars
import time:       192 |        192 |             numpy._core._dtype_ctypes
import time:       482 |        482 |                 _ctypes
import time:      3351 |       3351 |                 ctypes._endian
import time:      1235 |       5066 |               ctypes
import time:       930 |       5996 |             numpy._core._internal
import time:       212 |        212 |             numpy._pytesttester
import time:      4251 |     109756 |           numpy._core
import time:        59 |     109815 |         numpy._core._multiarray_umath
import time:       490 |     110304 |       numpy.__config__
import time:       282 |        282 |                         numpy._typing._nbit_base
import time:       263 |        263 |                         numpy._typing._nested_sequence
import time:       141 |        141 |                         numpy._typing._shape
import time:      9174 |       9859 |                       numpy._typing._array_like
import time:      3460 |       3460 |                       numpy._typing._char_codes
import time:      6006 |       6006 |                       numpy._typing._dtype_like
import time:       164 |        164 |                       numpy._typing._nbit
import time:       176 |        176 |                       numpy._typing._scalars
import time:       102 |        102 |                       numpy._typing._ufunc
import time:       444 |      20207 |                     numpy._typing
import time:       226 |        226 |                       numpy.lib._stride_tricks_impl
import time:       359 |        585 |                     numpy.lib._twodim_base_impl
import time:       100 |        100 |                       numpy.lib._array_utils_impl
import time:       124 |        224 |                     numpy.lib.array_utils
import time:       323 |        323 |                     numpy.linalg._umath_linalg
import time:      1599 |      22935 |                   numpy.linalg._linalg
import time:       196 |      23131 |                 numpy.linalg
import time:       343 |      23473 |               numpy.matrixlib.defmatrix
import time:       156 |      23629 |             numpy.matrixlib
import time:       296 |        296 |               numpy.lib._histograms_impl
import time:      1091 |       1386 |             numpy.lib._function_base_impl
import time:       443 |      25457 |           numpy.lib._index_tricks_impl
import time:       406 |      25862 |         numpy.lib._arraypad_impl
import time:      1075 |       1075 |         numpy.lib._arraysetops_impl
import time:       241 |        241 |         numpy.lib._arrayterator_impl
import time:       492 |        492 |         numpy.lib._nanfunctions_impl
import time:      2031 |       2031 |                 platform
import time:       498 |       2528 |               numpy.lib._utils_impl
import time:       278 |       2805 |             numpy.lib._format_impl
import time:       164 |       2969 |           numpy.lib.format
import time:       280 |        280 |           numpy.lib._datasource
import time:       446 |        446 |           numpy.lib._iotools
import time:       867 |       4560 |         numpy.lib._npyio_impl
import time:       194 |        194 |             numpy.lib._ufunclike_impl
import time:       307 |        501 |           numpy.lib._type_check_impl
import time:       567 |       1067 |         numpy.lib._polynomial_impl
import time:       395 |        395 |         numpy.lib._shape_base_impl
import time:       151 |        151 |         numpy.lib._version
import time:       119 |        119 |         numpy.lib.introspect
import time:       255 |        255 |         numpy.lib.mixins
import time:       107 |        107 |         numpy.lib.npyio
import time:       223 |        223 |           numpy.lib._scimath_impl
import time:       110 |        333 |         numpy.lib.scimath
import time:       106 |        106 |         numpy.lib.stride_tricks
import time:       480 |      35237 |       numpy.lib
import time:       161 |        161 |       numpy._array_api_info
import time:      1851 |     149134 |     numpy
import time:       213 |        213 |         dateutil._version
import time:       272 |        484 |       dateutil
import time:       378 |        378 |           sysconfig
import time:       497 |        497 |           _sysconfigdata__linux_x86_64-linux-gnu
import time:       550 |       1424 |         pandas.compat._constants
import time:       120 |        120 |             pandas.util
import time:      2527 |       2646 |           pandas.util.version
import time:       337 |       2983 |         pandas.compat.numpy
import time:        83 |         83 |           pyarrow
import time:       201 |        283 |         pandas.compat.pyarrow
import time:       650 |       5338 |       pandas.compat
import time:       527 |        527 |               numpy._typing._add_docstring
import time:       199 |        726 |             numpy.typing
import time:       230 |        230 |                 zlib
import time:       485 |        485 |                   numpy.random._common
import time:       237 |        237 |                       binascii
import time:       269 |        505 |                     base64
import time:      2267 |       2267 |                       _hashlib
import time:       281 |        281 |                         _blake2
import time:       566 |        847 |                       hashlib
import time:       370 |       3484 |                     hmac
import time:       176 |        176 |                         _bisect
import time:       181 |        357 |                       bisect
import time:       190 |        190 |                       _random
import time:       159 |        159 |                       _sha512
import time:       611 |       1315 |                     random
import time:       252 |       5554 |                   secrets
import time:       589 |       6627 |                 numpy.random.bit_generator
import time:       433 |       7289 |               numpy.random._bounded_integers
import time:       306 |        306 |                   numpy.random._pcg64
import time:      1440 |       1745 |                 numpy.random._generator
import time:       244 |        244 |                 numpy.random._mt19937
import time:       241 |        241 |                 numpy.random._philox
import time:       202 |        202 |                 numpy.random._sfc64
import time:      1536 |       1536 |                 numpy.random.mtrand
import time:       243 |       4209 |               numpy.random._pickle
import time:       281 |      11778 |             numpy.random
import time:      2698 |      15201 |           pandas._typing
import time:       235 |        235 |           pandas.util._exceptions
import time:       964 |      16399 |         pandas._config.config
import time:       278 |        278 |         pandas._config.dates
import time:       113 |        113 |             _locale
import time:      1075 |       1187 |           locale
import time:       241 |       1428 |         pandas._config.display
import time:       218 |      18321 |       pandas._config
import time:       174 |        174 |         pandas.core
import time:       259 |        259 |               pandas._libs.pandas_parser
import time:       154 |        154 |               pandas._libs.pandas_datetime
import time:       432 |        432 |                             pandas._libs._cyutility
import time:       376 |        808 |                           pandas._libs.tslibs.ccalendar
import time:       578 |        578 |                           pandas._libs.tslibs.np_datetime
