import time: self [us] | cumulative | imported package
import time:       457 |        457 |   _io
import time:        82 |         82 |   marshal
import time:       806 |        806 |   posix
import time:       851 |       2195 | _frozen_importlib_external
import time:       239 |        239 |   time
import time:       270 |        508 | zipimport
import time:       113 |        113 |     _codecs
import time:       743 |        856 |   codecs
import time:      1119 |       1119 |   encodings.aliases
import time:      1821 |       3795 | encodings
import time:       678 |        678 | encodings.utf_8
import time:       213 |        213 | _signal
import time:        63 |         63 |     _abc
import time:       271 |        333 |   abc
import time:       375 |        708 | io
import time:       103 |        103 |       _stat
import time:       146 |        249 |     stat
import time:      1487 |       1487 |     _collections_abc
import time:        80 |         80 |       genericpath
import time:       152 |        231 |     posixpath
import time:       743 |       2709 |   os
import time:       132 |        132 |   _sitebuiltins
import time:      1076 |       1076 |   _distutils_hack
import time:       487 |        487 |   types
import time:       959 |        959 |       warnings
import time:       624 |       1582 |     importlib
import time:       404 |        404 |     importlib._abc
import time:       157 |        157 |         itertools
import time:       263 |        263 |         keyword
import time:       370 |        370 |           _operator
import time:       860 |       1230 |         operator
import time:       413 |        413 |         reprlib
import time:       207 |        207 |         _collections
import time:      1625 |       3894 |       collections
import time:        92 |         92 |         _functools
import time:      1288 |       1379 |       functools
import time:       996 |       6268 |     contextlib
import time:       270 |        270 |       _weakrefset
import time:       813 |       1083 |     threading
import time:       269 |       9604 |   importlib.util
import time:        79 |         79 |   importlib.machinery
import time:       915 |        915 |   sitecustomize
import time:        85 |         85 |   usercustomize
import time:      1817 |      16898 | site
import time:      1449 |       1449 |       enum
import time:        77 |         77 |         _sre
import time:       352 |        352 |           re._constants
import time:       350 |        702 |         re._parser
import time:       133 |        133 |         re._casefix
import time:       333 |       1244 |       re._compiler
import time:       174 |        174 |       copyreg
import time:       519 |       3385 |     re
import time:       164 |        164 |       collections.abc
import time:       205 |        205 |           token
import time:      1106 |       1311 |         tokenize
import time:       194 |       1505 |       linecache
import time:      1208 |       1208 |       textwrap
import time:       662 |       3538 |     traceback
import time:       595 |        595 |     weakref
import time:        47 |         47 |       _string
import time:       616 |        662 |     string
import time:        80 |         80 |     atexit
import time:      2159 |      10415 |   logging
import time:       194 |        194 |     _typing
import time:      2719 |       2913 |   typing
import time:       226 |        226 |   MDAnalysis.version
import time:       134 |        134 |   MDAnalysis.authors
import time:       235 |        235 |   MDAnalysis.exceptions
import time:       211 |        211 |           tqdm._monitor
import time:       132 |        132 |           tqdm._tqdm_pandas
import time:      1010 |       1010 |               _ast
import time:      1069 |       2078 |             ast
import time:       279 |        279 |                 math
import time:       409 |        409 |                 _datetime
import time:      1059 |       1746 |               datetime
import time:       408 |        408 |               numbers
import time:       223 |        223 |                       _opcode
import time:       478 |        701 |                     opcode
import time:       894 |       1594 |                   dis
import time:      2936 |       4530 |                 inspect
import time:       235 |        235 |                 unicodedata
import time:        83 |         83 |                 envwrap
import time:       455 |       5302 |               tqdm.utils
import time:       960 |       8415 |             tqdm.std
import time:       222 |        222 |                   _csv
import time:       580 |        801 |                 csv
import time:       285 |        285 |                 email
import time:       254 |        254 |                   fnmatch
import time:       113 |        113 |                     _winapi
import time:        91 |         91 |                     nt
import time:        93 |         93 |                     nt
import time:        94 |         94 |                     nt
import time:        87 |         87 |                     nt
import time:       112 |        112 |                     nt
import time:       161 |        748 |                   ntpath
import time:       125 |        125 |                   errno
import time:       291 |        291 |                     urllib
