import time: self [us] | cumulative | imported package
import time:       578 |        578 |   _io
import time:       131 |        131 |   marshal
import time:      1068 |       1068 |   posix
import time:       901 |       2676 | _frozen_importlib_external
import time:       237 |        237 |   time
import time:       271 |        508 | zipimport
import time:       118 |        118 |     _codecs
import time:       743 |        860 |   codecs
import time:      1019 |       1019 |   encodings.aliases
import time:      1647 |       3526 | encodings
import time:       473 |        473 | encodings.utf_8
import time:       190 |        190 | _signal
import time:        55 |         55 |     _abc
import time:       214 |        269 |   abc
import time:       311 |        580 | io
import time:        88 |         88 |       _stat
import time:       165 |        252 |     stat
import time:      1992 |       1992 |     _collections_abc
import time:       115 |        115 |       genericpath
import time:       172 |        287 |     posixpath
import time:       722 |       3252 |   os
import time:       152 |        152 |   _sitebuiltins
import time:      1546 |       1546 |   _distutils_hack
import time:       611 |        611 |   types
import time:       555 |        555 |       warnings
import time:       411 |        965 |     importlib
import time:       396 |        396 |     importlib._abc
import time:       170 |        170 |         itertools
import time:       235 |        235 |         keyword
import time:       108 |        108 |           _operator
import time:       464 |        571 |         operator
import time:       383 |        383 |         reprlib
import time:       253 |        253 |         _collections
import time:      1648 |       3258 |       collections
import time:        77 |         77 |         _functools
import time:       952 |       1028 |       functools
import time:      1075 |       5360 |     contextlib
import time:       480 |        480 |       _weakrefset
import time:      1288 |       1767 |     threading
import time:       288 |       8775 |   importlib.util
import time:       112 |        112 |   importlib.machinery
import time:      1122 |       1122 |   sitecustomize
import time:        83 |         83 |   usercustomize
import time:      2448 |      18097 | site
import time:      1347 |       1347 |       enum
import time:        80 |         80 |         _sre
import time:       331 |        331 |           re._constants
import time:       351 |        681 |         re._parser
import time:       139 |        139 |         re._casefix
import time:       317 |       1216 |       re._compiler
import time:       181 |        181 |       copyreg
import time:       536 |       3278 |     re
import time:       160 |        160 |       collections.abc
import time:       194 |        194 |           token
import time:       972 |       1166 |         tokenize
import time:       168 |       1333 |       linecache
import time:       915 |        915 |       textwrap
import time:       525 |       2932 |     traceback
import time:       461 |        461 |     weakref
import time:        40 |         40 |       _string
import time:       534 |        573 |     string
import time:        38 |         38 |     atexit
import time:      1698 |       8978 |   logging
import time:       156 |        156 |     _typing
import time:      2208 |       2364 |   typing
import time:       167 |        167 |   MDAnalysis.version
import time:       123 |        123 |   MDAnalysis.authors
import time:       214 |        214 |   MDAnalysis.exceptions
import time:       212 |        212 |           tqdm._monitor
import time:       112 |        112 |           tqdm._tqdm_pandas
import time:      1046 |       1046 |               _ast
